output_id,transport,report_id,side,physical_target,payload_offsets,raw_offsets_with_report_id,encoding,off_value,dim_value,on_value,observed_transition,notes,palette_reference
HID_OUT_81_32,HID_OUTPUT_REPORT,0x81,RIGHT,DISPLAY_4_OR_8_RIGHT,32,33,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,Four fields change together; D4 and D8 are not individually attributed. The HID field changes; individual light response is not independently established.,
HID_OUT_81_36,HID_OUTPUT_REPORT,0x81,RIGHT,DISPLAY_4_OR_8_RIGHT,36,37,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,Four fields change together; D4 and D8 are not individually attributed. The HID field changes; individual light response is not independently established.,
HID_OUT_81_37,HID_OUTPUT_REPORT,0x81,RIGHT,BACK_RIGHT,37,38,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_38,HID_OUTPUT_REPORT,0x81,RIGHT,CAPTURE_RIGHT,38,39,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_39,HID_OUTPUT_REPORT,0x81,RIGHT,EDIT_RIGHT,39,40,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_44,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,44,45,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_81_45,HID_OUTPUT_REPORT,0x81,RIGHT,HOTCUE_RIGHT,45,46,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00|0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_46,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,46,47,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
FREEZE_WHITE_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,FREEZE white companion,48,49,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_81_50,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,50,51,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
DECK_WHITE_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,DECK white indicator,53,54,INTENSITY_U8,,,0x00>0x7F|0x7F>0x00,0x7F -> 0x00 or 0x00 -> 0x7F during documented DECK state update,Individual RIGHT DECK indicator address. Observed transition is scoped to the documented state update; complete native state semantics are not established.,
DECK_BLUE_RIGHT,HID_OUTPUT_REPORT,0x81,RIGHT,DECK blue indicator,54,55,INTENSITY_U8,,,0x00>0x7F|0x7F>0x00,0x7F -> 0x00 or 0x00 -> 0x7F during documented DECK state update,Individual RIGHT DECK indicator address. Observed transition is scoped to the documented state update; complete native state semantics are not established.,
HID_OUT_81_55,HID_OUTPUT_REPORT,0x81,RIGHT,SHIFT_RIGHT,55,56,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_60,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,60,61,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_81_61,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,61,62,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_81_62,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,62,63,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_81_63,HID_OUTPUT_REPORT,0x81,RIGHT,DECK_MODE_MULTILED_GROUP_RIGHT,63,64,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_81_68,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,68,69,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_69,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,69,70,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_70,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,70,71,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_71,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,71,72,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_72,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,72,73,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_73,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,73,74,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_74,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,74,75,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_75,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,75,76,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_76,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,76,77,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_77,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,77,78,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_78,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,78,79,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_79,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,79,80,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_80,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,80,81,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_81,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,81,82,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_82,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,82,83,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_83,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,83,84,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_84,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,84,85,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_85,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,85,86,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_86,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,86,87,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_87,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,87,88,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_88,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,88,89,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_89,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,89,90,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_90,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,90,91,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_91,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,91,92,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_92,HID_OUTPUT_REPORT,0x81,RIGHT,TOUCH_STRIP_RIGHT_SEGMENT_BANK,92,93,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_82_44,HID_OUTPUT_REPORT,0x82,MIXER,FX_ASSIGN1_C,44,45,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_82_45,HID_OUTPUT_REPORT,0x82,MIXER,FX_ASSIGN2_C,45,46,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_82_52,HID_OUTPUT_REPORT,0x82,MIXER,FX_ASSIGN1_D,52,53,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_82_53,HID_OUTPUT_REPORT,0x82,MIXER,FX_ASSIGN2_D,53,54,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
